 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Size (m)   Flux       -Sigma     +Sigma
  5.75E-02   9.59E-06   1.80E-06   1.79E-06
  5.89E-02   9.35E-06   1.75E-06   1.75E-06
  6.03E-02   9.11E-06   1.70E-06   1.70E-06
  6.17E-02   8.89E-06   1.66E-06   1.66E-06
  6.31E-02   8.67E-06   1.62E-06   1.62E-06
  6.46E-02   8.46E-06   1.58E-06   1.58E-06
  6.61E-02   8.25E-06   1.54E-06   1.54E-06
  6.76E-02   8.05E-06   1.50E-06   1.50E-06
  6.92E-02   7.86E-06   1.47E-06   1.46E-06
  7.08E-02   7.67E-06   1.43E-06   1.43E-06
  7.24E-02   7.49E-06   1.40E-06   1.40E-06
  7.41E-02   7.31E-06   1.36E-06   1.36E-06
  7.59E-02   7.13E-06   1.33E-06   1.33E-06
  7.76E-02   6.97E-06   1.30E-06   1.30E-06
  7.94E-02   6.80E-06   1.27E-06   1.27E-06
  8.13E-02   6.64E-06   1.25E-06   1.24E-06
  8.32E-02   6.49E-06   1.22E-06   1.22E-06
  8.51E-02   6.34E-06   1.19E-06   1.19E-06
  8.71E-02   6.20E-06   1.17E-06   1.17E-06
  8.91E-02   6.05E-06   1.14E-06   1.14E-06
  9.12E-02   5.92E-06   1.12E-06   1.12E-06
  9.33E-02   5.78E-06   1.10E-06   1.09E-06
  9.55E-02   5.65E-06   1.07E-06   1.07E-06
  9.77E-02   5.53E-06   1.05E-06   1.05E-06
  1.00E-01   5.40E-06   1.03E-06   1.03E-06
  1.02E-01   5.28E-06   1.01E-06   1.01E-06
  1.05E-01   5.17E-06   9.83E-07   9.82E-07
  1.07E-01   5.05E-06   9.59E-07   9.58E-07
  1.10E-01   4.93E-06   9.35E-07   9.34E-07
  1.12E-01   4.82E-06   9.12E-07   9.11E-07
  1.15E-01   4.71E-06   8.90E-07   8.89E-07
  1.17E-01   4.60E-06   8.68E-07   8.67E-07
  1.20E-01   4.49E-06   8.46E-07   8.45E-07
  1.23E-01   4.39E-06   8.25E-07   8.24E-07
  1.26E-01   4.28E-06   8.05E-07   8.04E-07
