 ORDEM 3.2.0 -  ORDEM Spacecraft Mode
 Debris Flux (#/m^2/yr/deg)
  Year: 2023  Perigee Altitude =    900.000  Apogee Altitude =   900.000  inc =   89.00
 *
 *
 *
 *
 *
 *
 *
  Az 1    Az 2    >10um      >100um     >1mm       >1cm       >10cm      >1m
 ------  ------   --------   --------   --------   --------   --------   --------  
   Min.:          2.25E-02   2.14E-04   1.27E-07   2.82E-11   3.90E-13   1.53E-13
   Max.:          3.25E+02   6.38E+00   3.08E-02   1.86E-06   7.23E-08   1.45E-08
 ------  ------   --------   --------   --------   --------   --------   --------  
    -1       0    3.25E+02   6.37E+00   3.07E-02   1.67E-06   7.22E-08   1.44E-08
     0       1    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     1       2    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     2       3    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     3       4    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     4       5    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     5       6    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     6       7    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     7       8    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     8       9    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
     9      10    3.25E+02   6.38E+00   3.08E-02   1.67E-06   7.23E-08   1.45E-08
    10      11    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    11      12    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    12      13    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    13      14    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    14      15    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    15      16    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    16      17    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    17      18    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    18      19    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    19      20    2.72E+02   5.47E+00   1.66E-02   1.86E-06   6.45E-08   1.20E-08
    20      21    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    21      22    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    22      23    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    23      24    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    24      25    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    25      26    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    26      27    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    27      28    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    28      29    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    29      30    1.71E+02   3.50E+00   1.04E-02   9.75E-07   3.31E-08   6.75E-09
    30      31    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    31      32    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    32      33    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    33      34    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    34      35    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    35      36    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    36      37    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    37      38    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    38      39    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    39      40    1.27E+02   2.64E+00   7.80E-03   7.08E-07   2.44E-08   5.16E-09
    40      41    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    41      42    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    42      43    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    43      44    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    44      45    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    45      46    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    46      47    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    47      48    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    48      49    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    49      50    9.95E+01   2.05E+00   6.20E-03   5.62E-07   1.94E-08   4.11E-09
    50      51    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    51      52    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    52      53    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    53      54    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    54      55    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    55      56    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    56      57    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    57      58    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    58      59    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
    59      60    8.94E+01   1.84E+00   5.56E-03   4.96E-07   1.72E-08   3.72E-09
